id,comuna,ruta,veredicto,paginas,tiene_tablas,rangos,paginas_utiles,confianza,metodo,nota,sesion,fin
sin_comuna_8b2b630897,SIN_COMUNA,Ordenanzas ordenadas\OCR ok\LO73FC~1.PDF,TEXTO,18,no,,0,ALTA,TEXTO+VISUAL,"LO BARNECHEA: Diario Oficial 11-oct-2019, decreto DAL 785/2019 que INICIA la Evaluacion Ambiental Estrategica para actualizar el PRC. No hay normas: la pag 10 (repetida en 17) lista en VINETAS las materias del futuro PRC (art 2.1.10 OGUC: usos de suelo, agrupamiento, CC, COS, alturas...) sin valores ni zonas. Pags 15-16 carta Gantt del estudio, pag 12 cuadro de objetivos ambientales EAE. Verificado por texto (18 pags, OCR limpio) y render de pags 10 y 15.",S1,2026-07-14T13:00:07
sin_comuna_a0617355aa,SIN_COMUNA,Ordenanzas ordenadas\OCR ok\RE6C2C~1.PDF,TEXTO,2,no,,0,ALTA,TEXTO,"RENGO: decreto alcaldicio 2p (jun-2018) que solo INICIA el procedimiento de actualizacion del PRC. Puro tramite: pag1 vistos/considerandos, pag2 el decreto (iniciese el procedimiento, designa a Secplan y asesora urbanista). Sin normas.",S1,2026-07-14T12:56:36
sin_comuna_a083fad3a3,lo_barnechea,Ordenanzas ordenadas\LO696E~1.PDF,MIXTO,6,si,1-2,2,ALTA,TEXTO,"COMUNA REAL = LO BARNECHEA (DO 41.271, 01-10-2015, Cuerpo I-7, pagina que mezcla titulos representativos de indices financieros -Comision Clasificadora de Riesgo-, NO atribuir eso a Lo Barnechea). Decreto 5655/2015, Modificacion N20 PRC Lo Barnechea (MPRC-LB-20): (a) reemplaza filas del cuadro de usos de suelo del art.20 (matriz de zonas A-O por tipo: vivienda, salud, educacion, deportes, esparcimiento, social, culto-cultura, comercio, servicios, industria). (b-e) CREA la ZONA LL 'Equipamiento de Culto' (6 sitios/parroquias listados con poligonos), agrega Nota N8 (altura maxima 20 m nave central de culto, 30 m campanarios) a zonas A/B/L/M. Cuadro COMPLETO de la Zona LL: usos permitidos (culto-cultura: templos, museos, bibliotecas) + CONDICIONES DE EDIFICACION (antejardin 5 m, COS 0,6, CC 1,0, agrupamiento aislado, altura 10,5 m/2 pisos, rasante 70 grados, OGUC distanciamiento/adosamiento). Todo en TEXTO REAL, sin imagen. [comuna corregida en revision Fase4: era SIN_COMUNA]",S2,2026-07-15T07:51:36
sin_comuna_a0a3c83d43,caldera,Ordenanzas ordenadas\OCR ok\CA12E2~1.PDF,TEXTO,65,si,"2-2,9-9,15-50,63-64",40,ALTA,TEXTO+VISUAL,"CALDERA: Decreto 2827 (ago-2012) plano seccional + enmiendas, pero INTEGRA LA ORDENANZA LOCAL COMPLETA. Nucleo: Art 21 Normas Urbanisticas por Zona = una tabla por zona, pags 15-50 (23 zonas urbanas U-1..U-23 + A-1,A-2,T-1,T-2,Q-1..Q-5,C-1,R-1..R-4,S-1,P-1 + Art 25 zona ZCH conservacion historica en 49-50). Formato vertical 2 columnas (parametro/valor), NO apaisado. Pag 2 = tabla de enmiendas de parametros (U-10, U-11, R-3b). Anadidas por precaucion: pag 9 (Art 5-6 adosamiento/antejardin por ancho de via) y 63-64 (Art 37 estacionamientos por uso, no por zona). Pags 51-62 = inventario ICH + vialidad (sin normas). Escaneo bueno, OCR legible incluso en tablas: esta copia NO reproduce la trampa MIXTO del caso testigo Caldera. 8 pags confirmadas visualmente. [comuna corregida en revision Fase4: era SIN_COMUNA]",S1,2026-07-14T13:01:40
sin_comuna_a19712e153,lo_barnechea,Ordenanzas ordenadas\OCR ok\LOEC66~1.PDF,TEXTO,5,si,"2-2,4-5",3,ALTA,TEXTO+VISUAL,"COMUNA REAL = LO BARNECHEA (cola lo trae SIN_COMUNA; es pagina del Diario Oficial 13-05-2016 que mezcla avisos ajenos). Modif. MPRC-LB-25: cuadro art.11 (tramos via L19) y cuadro condiciones edificacion Zonas G/I/K art.55 -> solo fija Antejardin minimo 5 mts. Contenido duplicado: p2 = version DO (texto), p4-5 = copia municipal firmada (imagen). p1 y p3 sin normas. [comuna corregida en revision Fase4: era SIN_COMUNA]",S2,2026-07-14T12:56:58
sin_comuna_c36ab4d7f8,SIN_COMUNA,Ordenanzas ordenadas\CU47E3~1.PDF,ESCANEADO,12,no,,0,ALTA,VISUAL,"CURACAUTIN: NO ES UN DOCUMENTO PRC. Decreto Ex 519 (23-abr-2021, 12p, escaneado sin OCR): aprueba la 'Ordenanza para el Funcionamiento y Derechos Municipales por Contraprestacion de Modulos Centro de Exposicion de Artesania' (reglamento de un mercado artesanal municipal: horarios, patentes, sanciones, aseo). La unica tabla es de horarios por temporada, no norma urbanistica. Cero zonas, usos de suelo, COS, CC, altura o densidad. Verificado visualmente en las 12 paginas.",S1,2026-07-15T08:09:25
sin_comuna_c859b64b71,SIN_COMUNA,Ordenanzas ordenadas\OCR ok\REFFC5~1.PDF,TEXTO,6,no,,0,ALTA,TEXTO+VISUAL,"COMUNA REAL = RENGO (cola lo trae SIN_COMUNA). Decreto Alcaldicio 34/2015: INICIO DE PROCESO de Modificacion N5 (no sustancial) al PRC. Puro tramite: lista 16 temas, recuadros para diario y carta a juntas de vecinos. Las tablas son listados de titulos de tema (tema/zona/titulo), SIN un solo valor normativo. Temas 12 y 16 anuncian bajar superficie predial minima en ZH7/ZH9/ZH10 pero no dan cifras. Verificado texto 6/6 pags + render visual p3 y p6.",S2,2026-07-14T12:57:44
sin_comuna_d10e9d497a,SIN_COMUNA,Ordenanzas ordenadas\QUB2C7~1.PDF,ESCANEADO,1,no,,0,ALTA,visual,"Decreto Alcaldicio 7565 (06.08.2018), I.Municipalidad de Quillota. Promulga Acuerdo 250/2018: autoriza inicio del proceso aprobatorio del Informe de Evaluacion Ambiental Estrategica del estudio Actualizacion PRC Quillota, ingreso a Ministerio de Medio Ambiente. Puramente procedimental/administrativo, sin ningun valor de norma urbanistica (sin COS/CC/altura/predial/etc).",S2,2026-07-15T08:09:20
sin_comuna_f11c50efae,SIN_COMUNA,Ordenanzas ordenadas\CU04A6~1.PDF,ESCANEADO,9,no,,0,ALTA,visual,"Decreto Ex 2.990 (30.10.2023), I.Municipalidad de Curacautin. Modifica la 'Ordenanza sobre Derechos Municipales por Permisos, Concesiones y Servicios Municipales' (tarifas en UTM por uso de canchas, terrazas, ferias, estacionamientos taxis, fotografia digital, etc). NO es un instrumento de planificacion territorial (PRC/Ordenanza Local): no contiene zonificacion ni normas urbanisticas (COS/CC/altura/predial/agrupamiento/antejardin). Fuera del alcance de Fase 3 por naturaleza del documento (ordenanza de derechos municipales, no PRC).",S2,2026-07-15T08:09:20
sin_comuna_f568dceefa,SIN_COMUNA,Ordenanzas ordenadas\RE0B51~1.PDF,ESCANEADO,3,no,,0,ALTA,visual,"Decreto Alcaldicio 1247/MD (16.11.2020), I.Municipalidad de Rengo. Inicia tramitacion de Modificacion N6 al PRC de Rengo/Rosario/Esmeralda con formulacion y consulta de Imagen Objetivo (Art.45 LGUC). La unica tabla (p.3) lista 9 TEMAS modificatorios (redefinicion zona conservacion historica, zona universitaria, plan maestro barrio nororiente, redefinicion vial, incorporacion destino culto en ZH3/ZH6/ZH9, equipamiento mayor escala, redefinicion calle Correa, transformacion ZE a residencial Villa Parque, redefinicion vial Av.Las Torres) sin ningun valor numerico de norma (COS/CC/altura/predial). Es el inicio del procedimiento, no el resultado normativo.",S2,2026-07-15T08:09:20
algarrobo_4c239069c1,algarrobo,Ordenanzas ordenadas\OCR ok\algarrobo_3336_aprueba_la_modificacion_del_plan_regulador_comuna_de_algarrobo_singularizad__Exportar.pdf,TEXTO,4,si,3-4,2,ALTA,TEXTO+VISUAL,"Modificacion PRC zona ZSH3B (Deportivo Mirasol). p3: tabla usos de suelo permitidos/prohibidos + tabla coordenadas poligono; p4: cuadro condiciones de edificacion (subdiv 300m2, ocup 50%, constr 1,7, altura 77m, antejardin 5m, densidad 900 hab/ha) + estacionamientos. TABLAS SON IMAGEN pese a paginas_con_imagen vacio en la cola.",S2,2026-07-14T12:55:56
andacollo_d914b2e2f7,andacollo,Ordenanzas ordenadas\OCR ok\andacollo_445_aprueba_enmienda_n_1_al_plan_regulador_comunal__Exportar.pdf,TEXTO,2,si,2-2,1,ALTA,TEXTO,"Enmienda N1 al PRC. Sin cuadro: la norma se fija en prosa (art. 19, zona ZU1: ocupacion suelo 60%->78%, altura 9->10.8 m). Norma por articulo, no tabla; p1 es solo vistos.",S2,2026-07-14T12:55:56
angol_e76a35ae24,angol,Ordenanzas ordenadas\OCR ok\angol_40_gobierno_regional_de_la_araucania_promulga_actualizacion_del_plan_regulador_c__40.pdf,TEXTO,20,si,7-13,7,ALTA,TEXTO+VISUAL,"Actualizacion PRC Angol (Diario Oficial 14-10-2022). TRAMPA MIXTO: pdftotext solo devuelve el TITULO de cada zona; las tablas son imagen. p7=cuadro estacionamientos minimos (art.5). p8-13=art.7 Normas Urbanisticas, UNA TABLA POR ZONA (usos de suelo permitidos/prohibidos + normas subdivision y edificacion): p8 Z-1 Centro Historico, p9 Z-2, p10 Z-3, p11 Z-4, p12 Z-5, p13 Z-AV Area Verde. Traen densidad, predial minima, ocupacion, constructibilidad, altura, agrupamiento, antejardin. OJO: p15-18 son tablas de VIALIDAD (art.8-9), no normas de zona. paginas_con_imagen de la cola NO lista 8-13: no es confiable.",S2,2026-07-14T12:59:25
antofagasta_05b7863005,antofagasta,Ordenanzas ordenadas\OCR ok\antofagasta_sn_modificaciones_al_plan_regulador_comunal_de_antofagasta__Exportar.pdf,TEXTO,5,no,,0,MEDIA,,"Decreto de modificaciones puntuales: desafecta/recalifica poligonos asimilandolos a zonas ya existentes (C-5, U1B, E-3) SIN transcribir parametros. Verificado en texto: solo remite a condiciones de la zona destino.",S3,2026-07-14T12:58:16
antofagasta_3b7c5dffdc,antofagasta,Ordenanzas ordenadas\OCR ok\antofagasta_ordenanza_plan_regulador_de_la_comuna_de_antofagasta__07-07-2002 Plan Regulador.pdf,TEXTO,84,si,"21-58,74-77",42,ALTA,TEXTO,"PRC 2002. Cap.VII 'Zonificacion, usos de suelo y normas especificas' p21-57: p22-23 cuadros de zonas (superficie/perfil), p24-34 tablas de usos de suelo por zona, p35-55 condiciones de edificacion por zona (altura, constructibilidad, ocupacion, predial min, antejardin, agrupamiento), p56-57 ZUDC. Cap.VIII vialidad (p58-74) EXCLUIDO salvo bordes. p75-76: normas por via estructurante (predios que colindan se asimilan a zona X) + usos adicionales Av. Costanera.",S3,2026-07-14T12:57:52
antofagasta_479dea836f,antofagasta,Ordenanzas Descargadas\1-600\antofagasta_decreto_alcaldicio_1080_disponese_el_llamado_a_propuesta_publica_denominada_actu__61372b59-a19a-4979-8636-6077cbdfe17a.pdf,ESCANEADO,2,no,,0,ALTA,visual,"Decreto Alcaldicio 1080/2016 (18.07.2016), I.Municipalidad de Antofagasta. Dispone llamado a Propuesta Publica 'Actualizacion Plano Regulador Comuna de Antofagasta' ID 2430-50-LR16 (licitacion de estudio, calendario de bases/ofertas/apertura). Puramente administrativo-presupuestario, sin ningun valor de norma urbanistica.",S2,2026-07-15T08:09:20
antofagasta_6bfe303c73,antofagasta,Ordenanzas Descargadas\1-600\antofagasta_decreto_alcaldicio_546_dese_por_iniciado_el_procedimiento_de_modificacion_del_pl__476066eb-7f3e-40b2-8b01-d4bb783e281e.pdf,ESCANEADO,4,no,,0,ALTA,visual,"Decreto Alcaldicio 546/2018 (18.04.2018), I.Municipalidad de Antofagasta. Da inicio al procedimiento de Modificacion del PRC de Antofagasta (etapa de Diseno y Elaboracion) y aprueba el Extracto de inicio de la Evaluacion Ambiental Estrategica. Contiene tabla de 'Criterios de Desarrollo Sustentable' (proteccion patrimonio, identidad cultural/turistica, condiciones ambientales, equidad urbana) que son objetivos cualitativos, NO valores de norma urbanistica (sin COS/CC/altura/predial/agrupamiento). El plan aun esta en etapa de diseno, sin contenido normativo definido en este documento.",S2,2026-07-15T08:09:21
antofagasta_a8cc3bf116,antofagasta,Ordenanzas Descargadas\1-600\antofagasta_547_da_inicio_a_procedimiento_de_modificacion_del_plan_regulador_comunal_de_anto__Exportar.pdf,TEXTO,3,no,,0,MEDIA,,Puro tramite: da inicio al procedimiento de modificacion del PRC (sector Chimba Bajo Costa) e inicia Evaluacion Ambiental Estrategica. Sin norma urbanistica.,S3,2026-07-14T12:58:17
antofagasta_ac7d3a3736,antofagasta,Ordenanzas ordenadas\OCR ok\antofagasta_236_promulga_texto_aprobatorio_de_la_modificacion_del_plan_regulador_comunal_de___Exportar.pdf,MIXTO,60,si,7-19,13,ALTA,TEXTO+VISUAL,"Modificacion PRC Antofagasta (Decreto 236, 60 pags, mixto). p7-17: Art.52.1 Normas Urbanisticas por Zona, TABLA-IMAGEN individual por zona (verificado render p7 ZM-4: predial min 150 m2, densidad bruta 750 Hab/Ha, COS 0,7, agrupamiento, antejardin 3 m). Zonas: ZM-4, ZM-5, ZM-6, ZM-7, ZH-4, ZH-5, ZE-1, ZE-BC, ZAV, ZEP-1, ZEP-2, ZEP-3. p18-19: TABLA SINTESIS DE CONDICIONES DE EDIFICACION POR ZONAS (imagen), consolida las 14 zonas en una sola tabla (predial min, densidad bruta max, agrupamiento, antejardin, distanciamiento medianero, altura max, CC, COS) + notas al pie. Tras p19 arranca Cap.V Vialidad Estructurante, EXCLUIDO. p42-58 son EAE/memoria descriptiva y figuras sin cuadro numerico (verificado render p58: mapa vial + seguimiento ambiental), no norma de zona.",S2,2026-07-15T07:48:45
antofagasta_d523f9c34e,antofagasta,Ordenanzas ordenadas\OCR ok\antofagasta_136_modifica_ordenaza_local_de_plan_regulador__Exportar.pdf,TEXTO,1,no,,0,MEDIA,,Relocaliza equipamiento vecinal (canje de poligonos area verde/equipamiento) manteniendo las condiciones vigentes de la zona E3. No transcribe valores.,S3,2026-07-14T12:58:17
antofagasta_e4293f7436,antofagasta,Ordenanzas ordenadas\OCR ok\antofagasta_145_modifica_plan_regulador_comunal_de_antofagasta__Exportar.pdf,MIXTO,20,si,"4-11,16-16,20-20",10,MEDIA,TEXTO+VISUAL,"Modificacion PRC Antofagasta (Decreto 145, 20 pags, mixto). p4,6,8,10: cuadros TABLA-IMAGEN de ESTACIONAMIENTOS minimos por tipo de uso (vivienda, salud, educacion, deportivo, comercio, talleres, industria) -- organizados por uso, no por zona. p11: tabla real insertada (fila CC') con columnas Zona/predial min/ocupacion max/CC max/agrupamiento/altura max/pisos max/distanciamiento/continuidad-pareo/rasante/antejardin min -- tabla de norma por zona completa. p16: CONDICIONES DE EDIFICACION ZONA C1Bc, tabla completa (altura max/min, rasante, CC, ocupacion, predial min, adosamiento/pareo, antejardin, distanciamiento, agrupamiento). p20: otra tabla completa (letras a-j) para nueva zona agregada al art.62/63. OJO: p12-15 y p17-19 son NARRATIVAS ('reemplacese en cuadro de Zonas Consolidadas, fila Cx, columna Y...') que modifican un cuadro base que NO esta reproducido en este PDF -- no confundir esas paginas con la tabla maestra, son parches sin la tabla completa de referencia.",S2,2026-07-15T07:50:23
antofagasta_f6a43125f1,antofagasta,Ordenanzas ordenadas\OCR ok\antofagasta_621_aprueba_modificacion_a_ordenanza_local_plan_regulador__Exportar.pdf,TEXTO,1,no,,0,MEDIA,,PATRON LEYCHILE: aprueba modificacion del art.23 Normas Especificas pero el contenido NO esta en el PDF; dice 'VER DIARIO OFICIAL 35.289 del 11-10-1995 pagina 3'. Norma existe pero es inalcanzable desde este documento.,S3,2026-07-14T12:58:17
antofagasta_fc8281446b,antofagasta,Ordenanzas ordenadas\OCR ok\antofagasta_816_promulga_el_texto_aprobatorio_de_la_modificacion_del_plan_regulador_comunal___Exportar.pdf,TEXTO,52,si,"16-46,51-52",33,ALTA,TEXTO+VISUAL,"TRAMPA MIXTO CONFIRMADA (tipo Caldera). Modificacion PRC Sector Norte 2012, 12 zonas (ZEC-1/2/3, ZH-1/2/3, ZM-1/2/3, ZET-1/2/3, ZE-2). El texto de cada zona SOLO trae usos de suelo permitidos y termina en 'los tipos que se indican a continuacion:' + un punto: la tabla de usos PROHIBIDOS y TODA la tabla 'Normas de Urbanizacion y Edificacion' (predial min, densidad, agrupamiento, antejardin, distanciamiento, altura, rasante, coef. constructibilidad, coef. ocupacion) son IMAGEN. Verificado visualmente p20 (ZEC-3: predial 150m2, dens 500 hab/ha, constr 2, ocup 0,7) y p45. La tabla de cada zona cae en la pagina SIGUIENTE a su texto. p45 trae ademas 2 'Tablas Sintesis de Condiciones de Edificacion por Zonas' (resumen de todas las zonas). Vialidad estructurante p46-50 EXCLUIDA (anchos de via, no norma de edificacion). p51-52 Fe de Erratas: RENOMBRA zonas (ZM-1 'mixta residencial y servicios', ZM-2 'mixta residencial y de actividades productivas PYME') - usar esos nombres.",S3,2026-07-14T13:01:09
antofagasta_fcc2551d60,antofagasta,Ordenanzas Descargadas\1-600\antofagasta_546_da_inicio_a_procedimiento_de_modificacion_de_plan_regulador_comunal_de_antof__Exportar.pdf,MIXTO,4,no,,0,MEDIA,,"Decreto solo DA INICIO al procedimiento de modificacion PRC (EAE), sin normativa. Pag3 (baja densidad) es tabla renderizada CRITERIO DE DESARROLLO SUSTENTABLE/OBJETIVO O ALCANCE -criterios ambientales cualitativos (patrimonio, identidad cultural, conectividad), no normas de zona (sin COS/CC/altura/densidad/uso de suelo). Pag1,2,4 solo vistos/considerandos/firma.",Ordenanzas S5,2026-07-15T07:47:46
antuco_0e19be3574,antuco,Ordenanzas Descargadas\1-600\antuco_decreto_aprueba_modificacion_de_ordenanza_que_regula_otorgamiento_de_beca_munici__Decreto_1898_2019.pdf,ESCANEADO,12,no,,0,MEDIA,,"Decreto 1898/2019, modifica ordenanza Beca Municipal Ensenanza Superior. Confirmado visual pag1,6-7,11-12 (arts.13-20, cierre sesion concejo con firmas): solo becas, sin tablas de normas urbanisticas.",Ordenanzas S5,2026-07-15T08:10:32
antuco_1e7dd28879,antuco,Ordenanzas Descargadas\1-600\antuco_decreto_rectifica_decreto_alcaldicio_n_1159_de_fecha_23_de_febrero_de_2026_que_a__1871.pdf,ESCANEADO,2,no,,0,MEDIA,,"Decreto 1871/2026, rectifica Decreto 1159/2026 (tenencia responsable mascotas), corrige numero correlativo y dato telefono. Documento completo 2p revisado: sin tablas de normas urbanisticas.",Ordenanzas S5,2026-07-15T08:10:33
antuco_1f89fdad9e,antuco,Ordenanzas Descargadas\1-600\antuco_decreto_ordenanza_sobre_la_regulacion_del_otorgamiento_de_beca_municipal_de_ense__Decreto_5222_2017.pdf,ESCANEADO,7,no,,0,MEDIA,,"Decreto 5222/2017, aprueba Ordenanza Beca Municipal Ensenanza Superior. Confirmado visual pag1,4,7 (arts.9-11,23, cierre con firmas): solo becas, sin tablas de normas urbanisticas.",Ordenanzas S5,2026-07-15T08:10:33
antuco_2e0cbc994d,antuco,Ordenanzas ordenadas\OCR ok\antuco_decreto_aprueba_ordenanza_municipal_sobre_autorizacion_de_transporte_de_basuras___Decreto_2049_2017.pdf,TEXTO,10,no,,0,MEDIA,,"Ordenanza municipal de transporte de basuras, desechos y escombros (incluye formularios). Ajena al PRC.",S3,2026-07-14T13:01:20
antuco_5181be1c3b,antuco,Ordenanzas Descargadas\1-600\antuco_decreto_aprueba_ordenanza_n_012026_municipal_sobre_tenencia_responsable_de_masco__Decreto_1159_2026.pdf,ESCANEADO,25,no,,0,MEDIA,,"Decreto 1159/2026, aprueba Ordenanza Municipal Tenencia Responsable de Mascotas y Animales de Compania. Confirmado visual pag1,13-14,24 (arts.32-36 faltas graves/gravisimas, art.75): contenido integro sobre tenencia mascotas, sin tablas de normas urbanisticas.",Ordenanzas S5,2026-07-15T08:10:33
antuco_67cf6a42b7,antuco,Ordenanzas Descargadas\1-600\antuco_decreto_ordenanza_sobre_la_regulacion_transito_vehicular_uso_de_cadenas_aseo_y_o__Decreto_554_2015.pdf,TEXTO,4,no,,0,MEDIA,,"Ordenanza de transito vehicular, uso de cadenas y aseo en el Centro Invernal Volcan Antuco. Ajena al PRC.",S3,2026-07-14T13:01:20
