comuna,familia,ruta,nombre,paginas,paginas_texto,paginas_escaneadas,veredicto,categoria,sirve,confianza,motivo,metodo,rutas_copias
arauco,7920_apruebase_enmienda_al_plan_regulador_comunal_de_arauco,Ordenanzas ordenadas\OCR ok\arauco_7920_apruebase_enmienda_al_plan_regulador_comunal_de_arauco__DTO7920_14DIC2018.pdf,arauco_7920_apruebase_enmienda_al_plan_regulador_comunal_de_arauco__DTO7920_14DIC2018.pdf,2,2,0,TEXTO,ENMIENDA_PRC,SI,ALTA,aprueba enmienda al PRC de Arauco que incrementa 20% la altura maxima de edificacion permitida en zonas especificas,TEXTO,Ordenanzas Descargadas\1-600\arauco_7920_apruebase_enmienda_al_plan_regulador_comunal_de_arauco__DTO7920_14DIC2018.pdf | Ordenanzas ordenadas\OCR ok\arauco_7920_apruebase_enmienda_al_plan_regulador_comunal_de_arauco__DTO7920_14DIC2018.pdf | descargas\arauco\diario_oficial\7920_apruebase_enmienda_al_plan_regulador_comunal_de_arauco__DTO7920_14DIC2018.pdf
arauco,el_proyecto_de_plan_regulador_comunal,Ordenanzas Descargadas\1-600\arauco_el_proyecto_de_plan_regulador_comunal__2daa2ffb-430a-4ba5-81f2-722e27cad4cd.pdf,arauco_el_proyecto_de_plan_regulador_comunal__2daa2ffb-430a-4ba5-81f2-722e27cad4cd.pdf,20,0,20,ESCANEADO,ENMIENDA_PRC,SI,ALTA,"La pagina 7 (del cuerpo, ~35%) trae el encabezado 'ENMIENDA PRC ARAUCO - SECRETARIA COMUNAL DE PLANIFICACION' con planos de detalle de zonas (ER, EXO, EXP, EXS) y texto normativo explicito: usos permitidos y prohibidos para 'Equipamiento Deportivo D' y para la 'Zona de Extension Urbana: Oriente EXO, Poniente EXP, Sur EXS'. Es articulado normativo real de una enmienda al PRC de Arauco.",VISUAL,Ordenanzas Descargadas\1-600\arauco_el_proyecto_de_plan_regulador_comunal__2daa2ffb-430a-4ba5-81f2-722e27cad4cd.pdf | descargas\arauco\busqueda_global\el_proyecto_de_plan_regulador_comunal__2daa2ffb-430a-4ba5-81f2-722e27cad4cd.pdf
arica,ordenanza_ordenanza_plan_regulador_comunal_de_arica,Ordenanzas ordenadas\OCR ok\arica_ordenanza_ordenanza_plan_regulador_comunal_de_arica__ORDENANZA_PLAN_REGULADOR.pdf,arica_ordenanza_ordenanza_plan_regulador_comunal_de_arica__ORDENANZA_PLAN_REGULADOR.pdf,86,85,0,TEXTO,ORDENANZA_PRC,SI,ALTA,"texto confirma resolucion que promulga el Plan Regulador Comunal de Arica, documento completo de 86 paginas",TEXTO,Ordenanzas Descargadas\1-600\arica_ordenanza_ordenanza_plan_regulador_comunal_de_arica__ORDENANZA_PLAN_REGULADOR.pdf | Ordenanzas ordenadas\OCR ok\arica_ordenanza_ordenanza_plan_regulador_comunal_de_arica__ORDENANZA_PLAN_REGULADOR.pdf | descargas\arica\ordenanzas_vigentes\ordenanza_ordenanza_plan_regulador_comunal_de_arica__ORDENANZA_PLAN_REGULADOR.pdf
arica,resumen_ejecutivo_modificacion_plan_regulador_comunal,Ordenanzas ordenadas\OCR ok\arica_resumen_ejecutivo_modificacion_plan_regulador_comunal__Resumen-PRC.pdf,arica_resumen_ejecutivo_modificacion_plan_regulador_comunal__Resumen-PRC.pdf,52,48,3,TEXTO,MODIFICACION_PRC,SI,ALTA,"Resumen ejecutivo (anteproyecto final) de la Modificacion del Plan Regulador Comunal de Arica. Aunque no es el decreto de promulgacion, contiene descripcion normativa extensa y explicita: define la zona ZC-1 con altura maxima de 14 m en fachada continua (hasta 21 m con cuerpo aislado adicional), densidad maxima de 400 Hab/Ha, ausencia de antejardin, y subzonas como ZC-1A. Es contenido normativo urbanistico real, no solo tramite.",VISUAL,Ordenanzas Descargadas\1-600\arica_resumen_ejecutivo_modificacion_plan_regulador_comunal__Resumen-PRC.pdf | Ordenanzas ordenadas\OCR ok\arica_resumen_ejecutivo_modificacion_plan_regulador_comunal__Resumen-PRC.pdf | descargas\arica\busqueda_global\resumen_ejecutivo_modificacion_plan_regulador_comunal__Resumen-PRC.pdf
bulnes,125_promulgacion_del_plan_regulador_comuna_de_bulnes,Ordenanzas ordenadas\OCR ok\bulnes_125_promulgacion_del_plan_regulador_comuna_de_bulnes__PUBLICACIoN_D.O._PRC_BULNES_06.10.2015.pdf,bulnes_125_promulgacion_del_plan_regulador_comuna_de_bulnes__PUBLICACIoN_D.O._PRC_BULNES_06.10.2015.pdf,8,6,2,MIXTO,ORDENANZA_PRC,SI,ALTA,"resolucion que promulga el Plan Regulador Comunal de Bulnes, con articulado extenso y multiples zonas (ZH-1, ZH-2, ZH-3, ZCU, ZED, ZES, ZHMC, ZHMP)",TEXTO,Ordenanzas Descargadas\1-600\bulnes_125_promulgacion_del_plan_regulador_comuna_de_bulnes__PUBLICACIoN_D.O._PRC_BULNES_06.10.2015.pdf | Ordenanzas ordenadas\OCR ok\bulnes_125_promulgacion_del_plan_regulador_comuna_de_bulnes__PUBLICACIoN_D.O._PRC_BULNES_06.10.2015.pdf | descargas\bulnes\diario_oficial\125_promulgacion_del_plan_regulador_comuna_de_bulnes__PUBLICACIoN_D.O._PRC_BULNES_06.10.2015.pdf
cabildo,1349_aprueba_enmienda_no_1_al_plan_regulador_comunal_de_cabildo,Ordenanzas Descargadas\1-600\cabildo_1349_aprueba_enmienda_no_1_al_plan_regulador_comunal_de_cabildo__Enmienda Nro 1 Plan Regulador comunal de Cabildo.pdf,cabildo_1349_aprueba_enmienda_no_1_al_plan_regulador_comunal_de_cabildo__Enmienda Nro 1 Plan Regulador comunal de Cabildo.pdf,3,3,0,TEXTO,ENMIENDA_PRC,SI,ALTA,"aprueba enmienda N1 al PRC de Cabildo con senales normativas amplias (constructibilidad, predial minima, altura maxima, densidad, agrupamiento, antejardin, zonificacion)",TEXTO,Ordenanzas Descargadas\1-600\cabildo_1349_aprueba_enmienda_no_1_al_plan_regulador_comunal_de_cabildo__Enmienda Nro 1 Plan Regulador comunal de Cabildo.pdf | descargas\cabildo\diario_oficial\1349_aprueba_enmienda_no_1_al_plan_regulador_comunal_de_cabildo__Enmienda Nro 1 Plan Regulador comunal de Cabildo.pdf
calbuco,4077_aprueba_enmienda_012018_al_plan_regulador_comunal_de_calbuco_sector_15_de_s,Ordenanzas ordenadas\OCR ok\calbuco_4077_aprueba_enmienda_012018_al_plan_regulador_comunal_de_calbuco_sector_15_de_s__Exportar.pdf,calbuco_4077_aprueba_enmienda_012018_al_plan_regulador_comunal_de_calbuco_sector_15_de_s__Exportar.pdf,3,3,0,TEXTO,ENMIENDA_PRC,SI,ALTA,"aprueba enmienda 01/2018 al PRC de Calbuco, sector 15 de Septiembre, con zona normativa ZI-1",TEXTO,Ordenanzas Descargadas\1-600\calbuco_4077_aprueba_enmienda_012018_al_plan_regulador_comunal_de_calbuco_sector_15_de_s__Exportar.pdf | Ordenanzas ordenadas\OCR ok\calbuco_4077_aprueba_enmienda_012018_al_plan_regulador_comunal_de_calbuco_sector_15_de_s__Exportar.pdf | descargas\calbuco\diario_oficial\4077_aprueba_enmienda_012018_al_plan_regulador_comunal_de_calbuco_sector_15_de_s__Exportar.pdf
caldera,1718_aprueba_texto_refundido_de_la_ordenanza_local_del_plan_regulador_comunal_de,Ordenanzas ordenadas\OCR ok\caldera_1718_aprueba_texto_refundido_de_la_ordenanza_local_del_plan_regulador_comunal_de__Exportar.pdf,caldera_1718_aprueba_texto_refundido_de_la_ordenanza_local_del_plan_regulador_comunal_de__Exportar.pdf,57,22,35,MIXTO,ORDENANZA_PRC,SI,ALTA,"Aprueba texto refundido de la ordenanza local del PRC de Caldera, maximo valor normativo",NOMBRE,Ordenanzas Descargadas\1-600\caldera_1718_aprueba_texto_refundido_de_la_ordenanza_local_del_plan_regulador_comunal_de__Exportar.pdf | Ordenanzas ordenadas\OCR ok\caldera_1718_aprueba_texto_refundido_de_la_ordenanza_local_del_plan_regulador_comunal_de__Exportar.pdf | descargas\caldera\diario_oficial\1718_aprueba_texto_refundido_de_la_ordenanza_local_del_plan_regulador_comunal_de__Exportar.pdf
caldera,225_promulga_actualizacion_plan_regulador_comunal_de_caldera,Ordenanzas ordenadas\OCR ok\caldera_225_promulga_actualizacion_plan_regulador_comunal_de_caldera__Exportar.pdf,caldera_225_promulga_actualizacion_plan_regulador_comunal_de_caldera__Exportar.pdf,32,19,12,MIXTO,ORDENANZA_PRC,SI,ALTA,"Promulga la actualizacion del PRC de Caldera (version previa al refundido de 2021); texto trae 22 senales de articulado y normas de altura, antejardin, rasante y usos de suelo",TEXTO,Ordenanzas Descargadas\1-600\caldera_225_promulga_actualizacion_plan_regulador_comunal_de_caldera__Exportar.pdf | Ordenanzas ordenadas\OCR ok\caldera_225_promulga_actualizacion_plan_regulador_comunal_de_caldera__Exportar.pdf | descargas\caldera\diario_oficial\225_promulga_actualizacion_plan_regulador_comunal_de_caldera__Exportar.pdf
caldera,2827_aprueba_plano_seccional_y_enmiendas_al_plan_regulador_comunal,Ordenanzas Descargadas\1-600\caldera_2827_aprueba_plano_seccional_y_enmiendas_al_plan_regulador_comunal__Exportar.pdf,caldera_2827_aprueba_plano_seccional_y_enmiendas_al_plan_regulador_comunal__Exportar.pdf,51,26,21,MIXTO,ENMIENDA_PRC,SI,ALTA,"Decreto 2827 aprueba plano seccional y enmiendas al PRC de Caldera; texto trae articulado, zonificacion y limite urbano reales",NOMBRE,Ordenanzas Descargadas\1-600\caldera_2827_aprueba_plano_seccional_y_enmiendas_al_plan_regulador_comunal__Exportar.pdf | descargas\caldera\diario_oficial\2827_aprueba_plano_seccional_y_enmiendas_al_plan_regulador_comunal__Exportar.pdf
caldera,296_aprueba_modificacion_y_publicacion_al_proyecto_modificacion_plan_regulador_d,Ordenanzas ordenadas\OCR ok\caldera_296_aprueba_modificacion_y_publicacion_al_proyecto_modificacion_plan_regulador_d__Exportar.pdf,caldera_296_aprueba_modificacion_y_publicacion_al_proyecto_modificacion_plan_regulador_d__Exportar.pdf,10,10,0,TEXTO,MODIFICACION_PRC,SI,ALTA,"Aprueba modificacion del PRC zonas U3ACB, R21A, R21B, R22 sector Playa Ramada, con ordenanza local respectiva",NOMBRE,Ordenanzas Descargadas\1-600\caldera_296_aprueba_modificacion_y_publicacion_al_proyecto_modificacion_plan_regulador_d__Exportar.pdf | Ordenanzas ordenadas\OCR ok\caldera_296_aprueba_modificacion_y_publicacion_al_proyecto_modificacion_plan_regulador_d__Exportar.pdf | descargas\caldera\diario_oficial\296_aprueba_modificacion_y_publicacion_al_proyecto_modificacion_plan_regulador_d__Exportar.pdf
caldera,297_aprueba_modificacion_y_publicacion_al_proyecto_plan_regulador_comunal_de_cal,Ordenanzas ordenadas\OCR ok\caldera_297_aprueba_modificacion_y_publicacion_al_proyecto_plan_regulador_comunal_de_cal__Exportar.pdf,caldera_297_aprueba_modificacion_y_publicacion_al_proyecto_plan_regulador_comunal_de_cal__Exportar.pdf,13,13,0,TEXTO,MODIFICACION_PRC,SI,ALTA,Aprueba modificacion del PRC sector Punta Pescadores; el texto incluye la Ordenanza Local Especial completa con articulado,TEXTO,Ordenanzas Descargadas\1-600\caldera_297_aprueba_modificacion_y_publicacion_al_proyecto_plan_regulador_comunal_de_cal__Exportar.pdf | Ordenanzas ordenadas\OCR ok\caldera_297_aprueba_modificacion_y_publicacion_al_proyecto_plan_regulador_comunal_de_cal__Exportar.pdf | descargas\caldera\diario_oficial\297_aprueba_modificacion_y_publicacion_al_proyecto_plan_regulador_comunal_de_cal__Exportar.pdf
caldera,298_aprueba_modificacion_y_publicacion_al_estudio_modificacion_plan_regulador_co,Ordenanzas Descargadas\1-600\caldera_298_aprueba_modificacion_y_publicacion_al_estudio_modificacion_plan_regulador_co__Exportar.pdf,caldera_298_aprueba_modificacion_y_publicacion_al_estudio_modificacion_plan_regulador_co__Exportar.pdf,12,12,0,TEXTO,MODIFICACION_PRC,SI,ALTA,"Aprueba modificacion del PRC zonas U2H, CH, U2E, R21A, R22 sector Bahia Inglesa; el texto incluye la Ordenanza Local respectiva",TEXTO,Ordenanzas Descargadas\1-600\caldera_298_aprueba_modificacion_y_publicacion_al_estudio_modificacion_plan_regulador_co__Exportar.pdf | descargas\caldera\diario_oficial\298_aprueba_modificacion_y_publicacion_al_estudio_modificacion_plan_regulador_co__Exportar.pdf
